,,,"Average weekly expenditure for theWeighted average of eight capital citiesin September quarter 2017$",,,"Percentage contributionto the All groups CPI inSeptember quarter 2017%",,
"Group",,
,"Sub-group",
,,"Expenditure class"
"FOOD AND NON–ALCOHOLIC BEVERAGES",,,"256.55",,,"16.09",,
,"Bread and cereal products",,,"23.68",,,"1.49",
,,"Bread",,,"8.56",,,"0.54"
,,"Cakes and biscuits",,,"10.42",,,"0.65"
,,"Breakfast cereals",,,"2.06",,,"0.13"
,,"Other cereal products",,,"2.63",,,"0.17"
,"Meat and seafoods",,,"34.86",,,"2.19",
,,"Beef and veal",,,"7.52",,,"0.47"
,,"Pork",,,"4.91",,,"0.31"
,,"Lamb and goat",,,"3.50",,,"0.22"
,,"Poultry",,,"6.82",,,"0.43"
,,"Other meats",,,"5.88",,,"0.37"
,,"Fish and other seafood",,,"6.23",,,"0.39"
,"Dairy and related products",,,"15.83",,,"0.99",
,,"Milk",,,"5.78",,,"0.36"
,,"Cheese",,,"4.70",,,"0.29"
,,"Ice cream and other dairy products",,,"5.34",,,"0.34"
,"Fruit and vegetables",,,"37.54",,,"2.35",
,,"Fruit",,,"17.11",,,"1.07"
,,"Vegetables",,,"20.43",,,"1.28"
,"Food products n.e.c.",,,"35.24",,,"2.21",
,,"Eggs",,,"1.96",,,"0.12"
,,"Jams, honey and spreads",,,"2.13",,,"0.13"
,,"Food additives and condiments",,,"4.68",,,"0.29"
,,"Oils and fats",,,"2.68",,,"0.17"
,,"Snacks and confectionery",,,"14.95",,,"0.94"
,,"Other food products n.e.c.",,,"8.84",,,"0.55"
,"Non–alcoholic beverages",,,"15.72",,,"0.99",
,,"Coffee, tea and cocoa",,,"3.71",,,"0.23"
,,"Waters, soft drinks and juices",,,"12.01",,,"0.75"
,"Meals out and take away foods",,,"93.69",,,"5.88",
,,"Restaurant meals",,,"52.94",,,"3.32"
,,"Take away and fast foods",,,"40.76",,,"2.56"
"ALCOHOL AND TOBACCO",,,"113.02",,,"7.09",,
,"Alcoholic beverages",,,"71.50",,,"4.49",
,,"Spirits",,,"13.46",,,"0.84"
,,"Wine",,,"28.35",,,"1.78"
,,"Beer",,,"29.69",,,"1.86"
,"Tobacco",,,"41.51",,,"2.60",
,,"Tobacco",,,"41.51",,,"2.60"
"CLOTHING AND FOOTWEAR",,,"56.56",,,"3.55",,
,"Garments",,,"35.38",,,"2.22",
,,"Garments for men",,,"9.64",,,"0.60"
,,"Garments for women",,,"20.23",,,"1.27"
,,"Garments for infants and children",,,"5.51",,,"0.35"
,"Footwear",,,"8.55",,,"0.54",
,,"Footwear for men",,,"2.26",,,"0.14"
,,"Footwear for women",,,"5.08",,,"0.32"
,,"Footwear for infants and children",,,"1.20",,,"0.08"
,"Accessories and clothing services",,,"12.64",,,"0.79",
,,"Accessories",,,"10.76",,,"0.68"
,,"Cleaning, repair and hire of clothing and footwear",,,"1.88",,,"0.12"
"HOUSING",,,"361.49",,,"22.68",,
,"Rents",,,"115.12",,,"7.22",
,,"Rents",,,"115.12",,,"7.22"
,"New dwelling purchase by owner–occupiers",,,"124.07",,,"7.78",
,,"New dwelling purchase by owner–occupiers",,,"124.07",,,"7.78"
,"Other housing",,,"57.64",,,"3.62",
,,"Maintenance and repair of the dwelling",,,"34.25",,,"2.15"
,,"Property rates and charges",,,"23.39",,,"1.47"
,"Utilities",,,"64.66",,,"4.06",
,,"Water and sewerage",,,"16.28",,,"1.02"
,,"Electricity",,,"34.57",,,"2.17"
,,"Gas and other household fuels",,,"13.81",,,"0.87"
"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",,,"149.62",,,"9.39",,
,"Furniture and furnishings",,,"27.06",,,"1.70",
,,"Furniture",,,"22.19",,,"1.39"
,,"Carpets and other floor coverings",,,"4.86",,,"0.31"
,"Household textiles",,,"7.87",,,"0.49",
,,"Household textiles",,,"7.87",,,"0.49"
,"Household appliances, utensils and tools",,,"24.80",,,"1.56",
,,"Major household appliances",,,"6.58",,,"0.41"
,,"Small electric household appliances",,,"5.28",,,"0.33"
,,"Glassware, tableware and household utensils",,,"6.84",,,"0.43"
,,"Tools and equipment for house and garden",,,"6.10",,,"0.38"
,"Non–durable household products",,,"42.18",,,"2.65",
,,"Cleaning and maintenance products",,,"4.13",,,"0.26"
,,"Personal care products",,,"17.01",,,"1.07"
,,"Other non–durable household products",,,"21.04",,,"1.32"
,"Domestic and household services",,,"47.71",,,"2.99",
,,"Child care",,,"21.51",,,"1.35"
,,"Hairdressing and personal grooming services",,,"14.80",,,"0.93"
,,"Other household services",,,"11.40",,,"0.72"
"HEALTH",,,"86.57",,,"5.43",,
,"Medical products, appliances and equipment",,,"18.82",,,"1.18",
,,"Pharmaceutical products",,,"16.49",,,"1.03"
